menuItemBriefDescription,menuItemCategory,menuItemCategoryOrderIncludes,menuItemDescription,menuItemName,menuItemNumber,menuItemPrice,menuItemSideOrder,timeStamp
(KOOBIDEH),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",Two juicy skewers of beautifully seasoned ground sirloin charbroiled to perfection.,HOUSE KABOB,A01,11.95,NA,05/20/2014
(BONELESS JOOJEH),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",Charbroiled pieces of tender chicken breast marinated overnight in a lemon juice and saffron marinade.,CHICKEN KABOB,A02,11.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",One skewer of our tender Chicken Kabob and a skewer of our juicy House Kabob.,COMBO KABOB,A03,13.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",Strips of chicken breast skewered and marinated twice over an open flame ,CHICKEN BARG KABOB,A04,13.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",Strips of thin steak cut tenderloin (most tender cut) seasoned and marinated to perfection over an open flame. ,BARG KABOB,A05,16.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",One skewer of Chicken Barg and one skewer of our juicy House Kabob.,VAZIRI KABOB,A06,16.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",The kings meal! One skewer of our tender Barg Kabob and one skewer of our juicy House Kabob.,SOLTANI KABOB,A07,18.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",Over one pound of tender pieces of lamb marinated to perfection with grilled bell peppers and onions served over our homemade bread.,LAMB KABOB,A08,22.95,NA,05/20/2014
(NA),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.",Freshly caught Atlantic salmon beautifully seasoned and marinated on an open flame. Be sure to ask about substituting your white rice with one of our mixed rices of the day.,SALMON KABOB,A09,14.95,NA,05/20/2014
(V),Kabobs,"ALL KABOBS COME WITH OUR HOUSE SALAD, GRILLED TOMATO, ONIONS, AND BASMATI SAFFRON RICE.","Bell peppers, zucchini, mushrooms, squash and pineapples skewered and lightly marinated on an open flame.",VEGETABLE KABOB,A10,11.95,NA,05/20/2014
